"","Suburb - Incident","sum(`Offence count`)"
"232","COROMANDEL EAST",3
"233","COROMANDEL VALLEY",36
"234","CORUNNA STATION",1
"235","COULTA",1
"236","COWANDILLA",93
"237","COWARIE",1
"238","COWELL",29
"239","COWIRRA",2
"240","CRAFERS",60
"241","CRAFERS WEST",9
"242","CRAIGBURN FARM",38
"243","CRAIGIEBURN",1
"244","CRAIGMORE",504
"245","CRESCENT",3
"246","CROMER",1
"247","CROSS ROADS",1
"248","CROYDON",111
"249","CROYDON PARK",284
"250","CRYSTAL BROOK",22
"251","CUDLEE CREEK",12
"252","CUDLLE CREEK",1
"253","CULTANA",1
"254","CUMBERLAND PARK",162
"255","CUMMINS",9
"256","CUNGENA",1
"257","CURRAMULKA",2
"258","CURRENCY CREEK",8
"259","CYGNET RIVER",4
"260","D'ESTREES BAY",1
"261","DANDENONG NORTH",1
"262","DARKE PEAK",3
"263","DARLINGTON",123
"264","DAVENPORT",89
"265","DAVERON PARK",2
"266","DAVEYSTON",1
"267","DAVOREN PARK",997
"268","DAVOREN PARLK",1
"269","DAW PARK",77
"270","DAWESLEY",3
"271","DE ROSE HILL",1
"272","DEEP CREEK",1
"273","DELAMERE",7
"274","DENIAL BAY",4
"275","DERNANCOURT",132
"276","DEVLINS POUND",2
"277","DEVON PARK",129
"278","DINGABLEDINGA",1
"279","DIREK",98
"280","DISMAL SWAMP",3
"281","DONOVANS",4
"282","DOUBLEVIEW",1
"283","DOVER GARDENS",105
"284","DOWLINGVILLE",2
"285","DRY CREEK",154
"286","DUBLIN",20
"287","DUCK PONDS",7
"288","DUDLEY EAST",1
"289","DUDLEY PARK",61
"290","DUDLEY WEST",1
"291","DULWICH",46
"292","DUTTON",2
"293","EAST MOONTA",2
"294","EASTWOOD",78
"295","EBENEZER",4
"296","ECHUCA",2
"297","ECHUNGA",13
"298","EDEN HILLS",79
"299","EDEN VALLEY",1
"300","EDENHOPE",1
"301","EDILLILIE",3
"302","EDINBURGH",56
"303","EDINBURGH NORTH",53
"304","EDITHBURGH",12
"305","EDWARDSTOWN",624
"306","EIGHT MILE CREEK",4
"307","ELIZABETH",1374
"308","ELIZABETH DOWNS",537
"309","ELIZABETH EAST",485
"310","ELIZABETH GROVE",285
"311","ELIZABETH NORTH",416
"312","ELIZABETH PARK",449
"313","ELIZABETH SOUTH",527
"314","ELIZABETH VALE",717
"315","ELLISTON",15
"316","ELWOMPLE",4
"317","EMU BAY",1
"318","EMU DOWNS",2
"319","ENCOUNTER BAY",45
"320","ENFIELD",447
"321","ERINDALE",19
"322","ERITH",1
"323","ERNABELLA",1
"324","ETHELTON",57
"325","EUDUNDA",26
"326","EURELIA",2
"327","EVANDALE",70
"328","EVANSTON",272
"329","EVANSTON GARDENS",115
"330","EVANSTON PARK",171
"331","EVANSTON SOUTH",22
"332","EVERARD PARK",93
"333","EXETER",150
"334","EYRE",158
"335","FAIRVIEW PARK",75
"336","FALSE BAY",1
"337","FARRELL FLAT",1
"338","FELIXSTOW",134
"339","FERRYDEN PARK",261
"340","FINDON",724
"341","FINNISS",4
"342","FIRLE",87
"343","FISHER",11
"344","FISHERMAN BAY",6
"345","FITZGERALD BAY",3
"346","FITZROY",31
"347","FLAGSTAFF HILL",159
"348","FLAXLEY",11
"349","FLAXMAN VALLEY",3
"350","FLINDERS PARK",249
"351","FLINTON",1
"352","FORDS",2
"353","FOREST RANGE",2
"354","FORESTVILLE",49
"355","FORRESTON",9
"356","FORSTER",1
"357","FOWLERS BAY",2
"358","FOX",5
"359","FRAHNS",1
"360","FRANCES",2
"361","FRANKSTON",2
"362","FRAYVILLE",1
"363","FREELING",47
"364","FREWVILLE",78
"365","FULHAM",136
"366","FULHAM GARDENS",191
"367","FULLARTON",199
"368","GARDEN ISLAND",1
"369","GARGETT",1
"370","GAWLER",340
"371","GAWLER BELT",34
"372","GAWLER EAST",177
"373","GAWLER RIVER",4
"374","GAWLER SOUTH",143
"375","GAWLER WEST",79
"376","GEELONG WEST",1
"377","GEMMELLS",3
"378","GEORGETOWN",3
"379","GEPPS CROSS",409
"380","GERANIUM",5
"381","GERANIUM PLAINS",4
"382","GERARD",5
"383","GIDGEALPA",1
"384","GIFFORD HILL",2
"385","GILBERTON",172
"386","GILES CORNER",1
"387","GILLES PLAINS",367
"388","GILLMAN",36
"389","GLADSTONE",24
"390","GLANDORE",412
"391","GLANVILLE",59
"392","GLEN OSMOND",189
"393","GLENALTA",22
"394","GLENBURNIE",19
"395","GLENCOE",8
"396","GLENDAMBO",10
"397","GLENELG",723
"398","GLENELG EAST",182
"399","GLENELG NORTH",299
"400","GLENELG SOUTH",130
"401","GLENGOWRIE",222
"402","GLENROY",2
"403","GLENSIDE",353
"404","GLENUNGA",164
"405","GLOBE DERBY PARK",18
"406","GLOSSOP",42
"407","GLYNDE",83
"408","GOLDEN GROVE",487
"409","GOLDEN HEIGHTS",5
"410","GOOD HOPE LANDING",1
"411","GOODWOOD",178
"412","GOOLWA",143
"413","GOOLWA BEACH",42
"414","GOOLWA NORTH",15
"415","GOOLWA SOUTH",43
"416","GOULD CREEK",11
"417","GRANGE",203
"418","GREEN FIELDS",60
"419","GREEN HILLS RANGE",1
"420","GREENACRES",382
"421","GREENHILL",2
"422","GREENOCK",12
"423","GREENWITH",128
"424","GREGORY HILLS",2
"425","GULFVIEW HEIGHTS",84
"426","GULNARE",1
"427","GUM CREEK",1
"428","GUMERACHA",8
"429","HACKHAM",257
"430","HACKHAM WEST",306
"431","HACKNEY",78
"432","HAHNDORF",42
"433","HAINES",3
"434","HALLET COVE",1
"435","HALLETT",3
"436","HALLETT COVE",309
"437","HAMLEY BRIDGE",16
"438","HAMPSTEAD GARDENS",79
"439","HAPPY VALLEY",184
"440","HARCOURT",1
"441","HARDWICKE BAY",1
"442","HARROGATE",3
"443","HART",1
"444","HARTLEY",3
"445","HATHERLEIGH",2
"446","HAWKER",9
"447","HAWSON",1
"448","HAWTHORN",102
"449","HAWTHORNDENE",17
"450","HAWTHORNE EAST",1
"451","HAY FLAT",3
"452","HAYBOROUGH",74
"453","HAZELWOOD PARK",38
"454","HEATHFIELD",24
"455","HEATHPOOL",8
"456","HECTORVILLE",210
"457","HENDON",69
"458","HENLEY BEACH",343
"459","HENLEY BEACH SOUTH",134
"460","HEWETT",57
"461","HIGHBURY",122
"462","HIGHGATE",34
"463","HIGHLAND VALLEY",5
"464","HILL RIVER",2
"465","HILLBANK",487
"466","HILLCREST",248
"467","HILLIER",36
"468","HILLTOWN",2
"469","HILTON",190
"470","HINDMARSH",454
"471","HINDMARSH ISLAND",21
"472","HINDMARSH TIERS",3
"473","HINDMARSH VALLEY",14
"474","HOLDEN HILL",247
"475","HOLDER SIDING",1
"476","HOLTZE",1
"477","HOPE GAP",1
"478","HOPE VALLEY",243
"479","HORNSDALE",1
"480","HORSHAM",1
"481","HOUGHTON",6
"482","HOVE",119
"483","HOYLETON",2
"484","HUMBUG SCRUB",19
