"","Suburb - Incident","sum(`Offence count`)"
"1016","SALISBURY NORTH",792
"1017","SALISBURY PARK",142
"1018","SALISBURY PLAIN",148
"1019","SALISBURY PLAINS",1
"1020","SALISBURY SOUTH",40
"1021","SALT CREEK",1
"1022","SALTER SPRINGS",1
"1023","SANDALWOOD",2
"1024","SANDERGROVE",4
"1025","SANDERSTON",3
"1026","SANDILANDS",1
"1027","SANDY CREEK",6
"1028","SCOTT CREEK",3
"1029","SEACLIFF",81
"1030","SEACLIFF PARK",135
"1031","SEACOMBE GARDENS",179
"1032","SEACOMBE HEIGHTS",46
"1033","SEAFORD",385
"1034","SEAFORD HEIGHTS",37
"1035","SEAFORD MEADOWS",261
"1036","SEAFORD RISE",216
"1037","SEATON",676
"1038","SEAVIEW DOWNS",136
"1039","SEBASTOPOL",3
"1040","SECOND VALLEY",3
"1041","SEDAN",9
"1042","SEFTON PARK",155
"1043","SELLICKS BEACH",57
"1044","SELLICKS HILL",3
"1045","SEMAPHORE",203
"1046","SEMAPHORE PARK",388
"1047","SEMAPHORE SOUTH",72
"1048","SENIOR",1
"1049","SERVICETON",1
"1050","SEVENHILL",1
"1051","SHEA-OAK LOG",2
"1052","SHEIDOW PARK",166
"1053","SHERINGA",2
"1054","SHERLOCK",2
"1055","SINGLETON",1
"1056","SKYE",4
"1057","SLEAFORD",5
"1058","SLEAFORD BAY",3
"1059","SMITHFIELD",958
"1060","SMITHFIELD PLAINS",330
"1061","SMOKY BAY",6
"1062","SNOWTOWN",21
"1063","SOLOMON",1
"1064","SOLOMONTOWN",124
"1065","SOMERTON PARK",216
"1066","SORRENTO",1
"1067","SOUTH BRIGHTON",84
"1068","SOUTH HUMMOCKS",1
"1069","SOUTH KILKERRAN",8
"1070","SOUTH PLYMPTON",202
"1071","SOUTHEND",2
"1072","SPALDING",7
"1073","SPENCE",3
"1074","SPRING HILL",1
"1075","SPRINGFIELD",18
"1076","SPRINGTON",8
"1077","SQUARE MILE",1
"1078","ST AGNES",158
"1079","ST CLAIR",296
"1080","ST GEORGES",18
"1081","ST IVES",2
"1082","ST JOHNS",1
"1083","ST KILDA",25
"1084","ST MARYS",301
"1085","ST MORRIS",33
"1086","ST PETERS",153
"1087","STANHOPE GARDENS",1
"1088","STANSBURY",18
"1089","STATE ONLY",1
"1090","STEELTON",1
"1091","STEINFELD",1
"1092","STEPNEY",96
"1093","STEWART RANGE",3
"1094","STIRLING",106
"1095","STIRLING NORTH",68
"1096","STOCKPORT",10
"1097","STOCKWELL",1
"1098","STOCKYARD PLAIN",1
"1099","STOKES BAY",2
"1100","STONE WELL",2
"1101","STONYFELL",14
"1102","STRATHABYLN",1
"1103","STRATHALBYN",230
"1104","STREAKY BAY",28
"1105","STURT",142
"1106","SUMMERTOWN",7
"1107","SUNLANDS",7
"1108","SUNNYBRAE",1
"1109","SUNNYDALE",3
"1110","SURREY DOWNS",189
"1111","SUTHERLANDS",1
"1112","SUTTONTOWN",24
"1113","SWAN REACH",3
"1114","SWANPORT",4
"1115","SYDNEY",2
"1116","TAILEM BEND",165
"1117","TAMWORTH",1
"1118","TANTANOOLA",12
"1119","TANUNDA",67
"1120","TAPEROO",465
"1121","TAPLAN",2
"1122","TARCOOLA",4
"1123","TARCOWIE",1
"1124","TARLEE",3
"1125","TARPEENA",6
"1126","TATACHILLA",5
"1127","TAYLORVILLE",3
"1128","TEA TREE GULLY",122
"1129","TEAL FLAT",1
"1130","TEMPLERS",4
"1131","TENNYSON",41
"1132","TEPKO",3
"1133","TERINGIE",8
"1134","TEROWIE",10
"1135","THE RANGE",4
"1136","THEBARTON",236
"1137","THEVENARD",78
"1138","THOMPSON BEACH",9
"1139","THORNGATE",61
"1140","THORNLEA",5
"1141","THRINGTON",2
"1142","TIATUKIA",4
"1143","TICKERA",1
"1144","TIDDY WIDDY BEACH",5
"1145","TINANA",1
"1146","TINTINARA",10
"1147","TOCUMWAL",1
"1148","TONSLEY",77
"1149","TOOPERANG",4
"1150","TOORAK GARDENS",82
"1151","TORRENS ISLAND",1
"1152","TORRENS PARK",128
"1153","TORRENS VALE",3
"1154","TORRENSVILLE",489
"1155","TOTHILL CREEK",1
"1156","TOTNESS",38
"1157","TOWNSVILLE",1
"1158","TRANMERE",142
"1159","TRINITY GARDENS",81
"1160","TROTT PARK",36
"1161","TRURO",9
"1162","TULKA",2
"1163","TUMBY BAY",22
"1164","TUNGKILLO",3
"1165","TUNKALILLA",1
"1166","TUSMORE",31
"1167","TWO WELLS",100
"1168","ULEY",2
"1169","ULEYBURY",18
"1170","UMUWA",4
"1171","UNDERDALE",156
"1172","UNDERWOOD",2
"1173","UNGARRA",2
"1174","UNLEY",287
"1175","UNLEY PARK",35
"1176","UPPER FERNTREE GULLY",1
"1177","UPPER HERMITAGE",13
"1178","UPPER STURT",10
"1179","URAIDLA",10
"1180","URRBRAE",16
"1181","VALE PARK",94
"1182","VALLEY VIEW",292
"1183","VARSITY LAKES",1
"1184","VEITCH",1
"1185","VENUS BAY",1
"1186","VERDUN",9
"1187","VICTOR HARBOR",241
"1188","VIRGINIA",188
"1189","VIRIGINIA",1
"1190","VISTA",19
"1191","VIVONNE BAY",3
"1192","WAIKERIE",134
"1193","WAITPINGA",7
"1194","WALKER FLAT",4
"1195","WALKERS FLAT",2
"1196","WALKERVILLE",201
"1197","WALKLEY HEIGHTS",112
"1198","WALL FLAT",1
"1199","WALLAROO",214
"1200","WALLAROO MINES",17
"1201","WALTOWA",1
"1202","WAMI KATA",3
"1203","WAMURAN",1
"1204","WANBI",6
"1205","WANDEARAH EAST",3
"1206","WANDEARAH WEST",1
"1207","WANDILLO",1
"1208","WANDILO",10
"1209","WANGARY",3
"1210","WANILLA",2
"1211","WANNIASSA",1
"1212","WARBURTO",2
"1213","WARD BELT",10
"1214","WARNERTOWN",5
"1215","WAROOKA",5
"1216","WARRADALE",212
"1217","WARRAMBOO",1
"1218","WASHPOOL",1
"1219","WASLEYS",11
"1220","WATERFALL GULLY",3
"1221","WATERLOO",3
"1222","WATERLOO CORNER",82
"1223","WATERVALE",2
"1224","WATINUMA",2
"1225","WATTLE FLAT",2
"1226","WATTLE PARK",18
"1227","WATTLE RANGE",1
"1228","WATTLE RANGE EAST",1
"1229","WAYVILLE",229
"1230","WEBB BEACH",1
"1231","WEEROONA ISLAND",1
"1232","WELLAND",144
"1233","WELLINGTON",4
"1234","WELLINGTON EAST",6
"1235","WEMBLEY",1
"1236","WEPAR",1
"1237","WEST BEACH",239
"1238","WEST CROYDON",311
"1239","WEST HINDMARSH",98
"1240","WEST LAKES",757
"1241","WEST LAKES SHORE",103
"1242","WEST PYMBLE",2
"1243","WEST RANGE",5
"1244","WEST RICHMOND",85
"1245","WESTBOURNE PARK",68
"1246","WESTERN FLAT",4
"1247","WESTERN RIVER",4
"1248","WHITE HILL",9
"1249","WHITE RIVER",4
"1250","WHITE SANDS",1
"1251","WHITES FLAT",1
"1252","WHITES RIVER",1
"1253","WHITES VALLEY",6
"1254","WHYALLA",319
"1255","WHYALLA BARSON",20
"1256","WHYALLA JENKINS",65
"1257","WHYALLA NORRIE",1057
"1258","WHYALLA PLAYFORD",152
"1259","WHYALLA STUART",1180
"1260","WILD HORSE PLAINS",7
"1261","WILLALOOKA",2
"1262","WILLAMULKA",1
"1263","WILLASTON",142
"1264","WILLIAMSTOWN",47
"1265","WILLOW CREEK",2
"1266","WILLOWIE",1
"1267","WILLUNGA",58
"1268","WILLUNGA HILL",6
"1269","WILLUNGA SOUTH",6
"1270","WILLYAROO",4
"1271","WILMINGTON",9
"1272","WINDSOR",6
"1273","WINDSOR GARDENS",312
"1274","WINGFIELD",184
"1275","WINKIE",7
"1276","WINNINOWIE",1
"1277","WINTINNA",4
"1278","WINULTA",2
"1279","WIRRABARA",4
"1280","WIRREGA",1
"1281","WIRRINA COVE",5
"1282","WIRRULLA",7
"1283","WISTOW",5
"1284","WOGOLIN",1
"1285","WOKURNA",2
"1286","WOLSELEY",5
"1287","WONGULLA",2
"1288","WOODCHESTER",6
"1289","WOODCROFT",226
"1290","WOODFORDE",34
"1291","WOODLEIGH",1
"1292","WOODSIDE",55
"1293","WOODVILLE",255
"1294","WOODVILLE GARDENS",156
"1295","WOODVILLE NORTH",192
"1296","WOODVILLE PARK",222
"1297","WOODVILLE SOUTH",337
"1298","WOODVILLE WEST",259
"1299","WOOL BAY",2
"1300","WOOLOOWIN",1
"1301","WOOLSHEDS",4
"1302","WOOMERA",3
"1303","WORLDS END",1
"1304","WORROLONG",5
"1305","WRATTONBULLY",1
"1306","WUDINNA",21
"1307","WYE",3
"1308","WYNARKA",2
"1309","WYNN VALE",143
"1310","YACKA",2
"1311","YAHL",15
"1312","YALATA",69
"1313","YALLUNDA FLAT",1
"1314","YAMBA",1
"1315","YANCHEP",1
"1316","YANINEE",1
"1317","YANKALILLA",28
"1318","YANTANABIE",1
"1319","YARRAH",1
"1320","YARRAMBAT",1
"1321","YATALA VALE",4
"1322","YATINA",2
"1323","YATTALUNGA",8
"1324","YEELANNA",1
"1325","YELTA",1
"1326","YORKETOWN",9
"1327","YOUNGHUSBAND",3
"1328","YUMALI",2
"1329","YUNDI",1
"1330","YUNTA",4
"1331",NA,NA
